"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 16 08:20:39 IST 2022","Wed Nov 16 08:20:49 IST 2022","9057","","Verify the Login functionality: Login to the account with valid data","","Verify the Login functionality: Login to the account with valid data","Then Verify user is on home page","Then Verify user is on home page",""
"passed","Wed Nov 16 08:17:43 IST 2022","Wed Nov 16 08:17:43 IST 2022","1","","Verify the functionality of Login: Login to the account with invalid data","","Verify the functionality of Login: Login to the account with invalid data","","",""
"passed","Wed Nov 16 10:25:59 IST 2022","Wed Nov 16 10:26:09 IST 2022","10629","","Add Product to cart, Proceed to checkout till make payments and validate order: Login to the account","","Add Product to cart, Proceed to checkout till make payments and validate order: Login to the account","Then Verify user is on home page","Then Verify user is on home page",""
"skipped","Wed Nov 16 10:10:52 IST 2022","Wed Nov 16 10:10:52 IST 2022","1","","Add Product to cart, Proceed to checkout till make payments and validate order: Add product to cart","","Add Product to cart, Proceed to checkout till make payments and validate order: Add product to cart","When User provide """" and """" and """"","When User provide """" and """" and """"",""
"passed","Tue Nov 15 22:11:51 IST 2022","Tue Nov 15 22:11:51 IST 2022","1","","Code Test on Ecommerse site: Register new user","","Code Test on Ecommerse site: Register new user","","",""
"passed","Wed Nov 16 08:20:54 IST 2022","Wed Nov 16 08:20:54 IST 2022","1","","Verify the Login functionality: Login to the account with valid data","","Verify the Login functionality: Login to the account with valid data","","",""
"passed","Wed Nov 16 08:26:15 IST 2022","Wed Nov 16 08:26:15 IST 2022","1","","Verify the Login functionality of Magento Commerce application: Login to the account with valid data","","Verify the Login functionality of Magento Commerce application: Login to the account with valid data","","",""
"passed","Wed Nov 16 08:26:01 IST 2022","Wed Nov 16 08:26:10 IST 2022","9743","","Verify the Login functionality of Magento Commerce application: Login to the account with valid data","","Verify the Login functionality of Magento Commerce application: Login to the account with valid data","Then Verify user is on home page","Then Verify user is on home page",""
"passed","Wed Nov 16 08:21:10 IST 2022","Wed Nov 16 08:21:10 IST 2022","1","","Verify the Login functionality: Login to the account with invalid data","","Verify the Login functionality: Login to the account with invalid data","","",""
"passed","Wed Nov 16 08:17:35 IST 2022","Wed Nov 16 08:17:42 IST 2022","6966","","Verify the functionality of Login: Login to the account with invalid data","","Verify the functionality of Login: Login to the account with invalid data","When User provide ""shereavi27@gmail.com"" and ""Password""","When User provide ""shereavi27@gmail.com"" and ""Password""",""
"passed","Wed Nov 16 08:20:49 IST 2022","Wed Nov 16 08:20:54 IST 2022","5523","","Verify the Login functionality: Login to the account with valid data","","Verify the Login functionality: Login to the account with valid data","Then User log out from application","Then User log out from application",""
"passed","Tue Nov 15 22:11:33 IST 2022","Tue Nov 15 22:11:38 IST 2022","5086","","Code Test on Ecommerse site: Register new user","","Code Test on Ecommerse site: Register new user","When User provide user details","When User provide user details",""
